date,model,mode,timestamp,level,checklist,skeleton,code,parameter
20251028-1-jsdirect3,codellama-13b,direct,20251029-033943,3,None,None,11.06%,12.15%
20251028-1-jsdirect3,codellama-34b,direct,20251029-003016,3,None,None,6.32%,2.49%
20251028-1-jsdirect3,deepseek-coder-33b,direct,20251029-034434,3,None,None,22.33%,8.67%
20251028-1-jsdirect3,deepseek-coder-6.7b,direct,20251029-035859,3,None,None,25.15%,1.09%
20251029-1-java-opensources,gemma3-12b,cascade,20251029-141855,1,62.10%,16.58%,19.30%,45.16%
20251029-1-java-opensources,gemma3-12b,cascade,20251029-172111,2,None,17.08%,17.78%,30.64%
20251029-1-java-opensources,gemma3-12b,direct,20251029-222906,1,None,None,15.62%,33.33%
20251029-1-java-opensources,gemma3-12b,direct,20251030-034426,2,None,None,23.28%,54.05%
20251028-1-jsdirect3,gemma3-12b,direct,20251028-202130,3,None,None,36.41%,31.77%
20251029-1-java-opensources,gemma3-27b,cascade,20251029-175440,1,65.25%,22.63%,26.11%,45.98%
20251029-1-java-opensources,gemma3-27b,cascade,20251029-194639,2,None,21.99%,21.74%,38.95%
20251029-1-java-opensources,gemma3-27b,direct,20251030-043918,1,None,None,20.97%,50.66%
20251029-1-java-opensources,gemma3-27b,direct,20251030-071615,2,None,None,20.84%,34.52%
20251028-1-jsdirect3,gemma3-27b,direct,20251028-204251,3,None,None,51.70%,40.72%
20251029-1-java-opensources,gpt-oss-20b,cascade,20251029-125403,1,64.96%,17.70%,23.85%,32.84%
20251029-1-java-opensources,gpt-oss-20b,cascade,20251029-132951,2,None,11.09%,28.39%,46.11%
20251029-1-java-opensources,gpt-oss-20b,direct,20251029-204820,1,None,None,22.59%,21.81%
20251029-1-java-opensources,gpt-oss-20b,direct,20251029-211634,2,None,None,31.78%,36.35%
20251028-1-jsdirect3,gpt-oss-20b,direct,20251028-201946,3,None,None,40.85%,23.01%
20251029-1-java-opensources,llama3.1-8b,cascade,20251029-184641,1,4.13%,8.03%,5.86%,0.00%
20251029-1-java-opensources,llama3.1-8b,cascade,20251029-191234,2,None,7.67%,3.42%,0.00%
20251029-1-java-opensources,llama3.1-8b,direct,20251030-104414,1,None,None,8.09%,9.42%
20251029-1-java-opensources,llama3.1-8b,direct,20251030-105514,2,None,None,3.43%,0.00%
20251028-1-jsdirect3,llama3.1-8b,direct,20251029-001818,3,None,None,7.77%,0.00%
20251029-1-java-opensources,llama3.3-70b,cascade,20251029-154027,1,49.19%,21.42%,3.91%,6.60%
20251029-1-java-opensources,llama3.3-70b,cascade,20251029-171738,2,None,17.89%,7.13%,22.02%
20251029-1-java-opensources,llama3.3-70b,direct,20251029-234940,1,None,None,0.82%,1.71%
20251029-1-java-opensources,llama3.3-70b,direct,20251030-051120,2,None,None,6.07%,15.92%
20251028-1-jsdirect3,llama3.3-70b,direct,20251028-230205,3,None,None,47.53%,43.92%
20251029-1-java-opensources,phi4-14b,cascade,20251029-192418,1,57.81%,8.04%,15.10%,26.05%
20251029-1-java-opensources,phi4-14b,cascade,20251029-195320,2,None,8.93%,17.94%,28.05%
20251029-1-java-opensources,phi4-14b,direct,20251030-111338,1,None,None,19.41%,42.51%
20251029-1-java-opensources,phi4-14b,direct,20251030-113309,2,None,None,24.85%,43.03%
20251028-1-jsdirect3,phi4-14b,direct,20251028-212851,3,None,None,55.27%,38.58%
20251028-1-jsdirect3,qwen2.5-coder-14b,direct,20251028-224242,3,None,None,35.67%,33.24%
20251028-1-jsdirect3,qwen2.5-coder-32b,direct,20251028-215453,3,None,None,43.76%,38.44%
20251029-1-java-opensources,qwen3-14b,cascade,20251029-125440,1,59.93%,5.42%,19.20%,25.17%
20251029-1-java-opensources,qwen3-14b,cascade,20251029-132743,2,None,6.25%,21.12%,32.41%
20251029-1-java-opensources,qwen3-14b,direct,20251029-201841,1,None,None,21.86%,35.72%
20251029-1-java-opensources,qwen3-14b,direct,20251029-210018,2,None,None,21.19%,17.30%
20251028-1-jsdirect3,qwen3-14b,direct,20251028-205505,3,None,None,28.43%,22.43%
20251029-1-java-opensources,qwen3-30b,cascade,20251029-140305,1,38.24%,6.82%,18.90%,38.90%
20251029-1-java-opensources,qwen3-30b,cascade,20251029-145633,2,None,5.36%,18.60%,29.01%
20251029-1-java-opensources,qwen3-30b,direct,20251029-221104,1,None,None,14.53%,29.22%
20251029-1-java-opensources,qwen3-30b,direct,20251029-224821,2,None,None,6.23%,13.72%
20251028-1-jsdirect3,qwen3-30b,direct,20251028-212125,3,None,None,43.22%,22.92%
