date,model,mode,timestamp,level,passed,failed,executed,score
20251031-1-javadirect3,codellama-13b,direct,20251031-201036,3,2,282,15,0.007042254
20251031-1-javadirect3,deepseek-coder-33b,direct,20251031-200950,3,5,279,41,0.017605634
20251031-1-javadirect3,deepseek-coder-6.7b,direct,20251031-202957,3,1,283,6,0.003521127
20251029-1-java-opensources,gemma3-12b,cascade,20251029-141855,1,6,278,23,0.021126761
20251029-1-java-opensources,gemma3-12b,cascade,20251029-172111,2,1,283,14,0.003521127
20251029-1-java-opensources,gemma3-12b,direct,20251029-222906,1,6,278,23,0.021126761
20251029-1-java-opensources,gemma3-12b,direct,20251030-034426,2,7,277,37,0.024647887
20251031-1-javadirect3,gemma3-12b,direct,20251031-122752,3,4,280,37,0.014084507
20251029-1-java-opensources,gemma3-27b,cascade,20251029-175440,1,8,276,40,0.028169014
20251029-1-java-opensources,gemma3-27b,cascade,20251029-194639,2,9,275,36,0.031690141
20251029-1-java-opensources,gemma3-27b,direct,20251030-043918,1,5,279,37,0.017605634
20251029-1-java-opensources,gemma3-27b,direct,20251030-071615,2,13,271,53,0.045774648
20251031-1-javadirect3,gemma3-27b,direct,20251031-125613,3,19,265,70,0.066901408
20251029-1-java-opensources,gpt-oss-20b,cascade,20251029-125403,1,9,275,57,0.031690141
20251029-1-java-opensources,gpt-oss-20b,cascade,20251029-132951,2,22,262,103,0.077464789
20251029-1-java-opensources,gpt-oss-20b,direct,20251029-204820,1,18,266,145,0.063380282
20251029-1-java-opensources,gpt-oss-20b,direct,20251029-211634,2,19,265,73,0.066901408
20251031-1-javadirect3,gpt-oss-20b,direct,20251031-103326,3,25,259,91,0.088028169
20251029-1-java-opensources,llama3.1-8b,cascade,20251029-184641,1,2,282,15,0.007042254
20251029-1-java-opensources,llama3.1-8b,cascade,20251029-191234,2,2,282,22,0.007042254
20251029-1-java-opensources,llama3.1-8b,direct,20251030-104414,1,2,282,6,0.007042254
20251029-1-java-opensources,llama3.1-8b,direct,20251030-105514,2,1,283,9,0.003521127
20251031-1-javadirect3,llama3.1-8b,direct,20251031-121129,3,2,282,15,0.007042254
20251029-1-java-opensources,llama3.3-70b,cascade,20251029-154027,1,1,283,9,0.003521127
20251029-1-java-opensources,llama3.3-70b,cascade,20251029-171738,2,1,283,14,0.003521127
20251029-1-java-opensources,llama3.3-70b,direct,20251029-234940,1,0,284,0,0
20251029-1-java-opensources,llama3.3-70b,direct,20251030-051120,2,5,279,31,0.017605634
20251031-1-javadirect3,llama3.3-70b,direct,20251031-103338,3,14,270,104,0.049295775
20251029-1-java-opensources,phi4-14b,cascade,20251029-192418,1,3,281,9,0.01056338
20251029-1-java-opensources,phi4-14b,cascade,20251029-195320,2,3,281,14,0.01056338
20251029-1-java-opensources,phi4-14b,direct,20251030-111338,1,14,270,120,0.049295775
20251029-1-java-opensources,phi4-14b,direct,20251030-113309,2,7,277,37,0.024647887
20251031-1-javadirect3,phi4-14b,direct,20251031-122818,3,7,277,37,0.024647887
20251031-1-javadirect3,qwen2.5-coder-14b,direct,20251031-134204,3,0,284,0,0
20251031-1-javadirect3,qwen2.5-coder-32b,direct,20251031-125746,3,12,272,53,0.042253521
20251029-1-java-opensources,qwen3-14b,cascade,20251029-125440,1,4,280,31,0.014084507
20251029-1-java-opensources,qwen3-14b,cascade,20251029-132743,2,2,282,33,0.007042254
20251029-1-java-opensources,qwen3-14b,direct,20251029-201841,1,9,275,117,0.031690141
20251029-1-java-opensources,qwen3-14b,direct,20251029-210018,2,3,281,28,0.01056338
20251031-1-javadirect3,qwen3-14b,direct,20251031-160932,3,4,280,37,0.014084507
20251029-1-java-opensources,qwen3-30b,cascade,20251029-140305,1,13,271,95,0.045774648
20251029-1-java-opensources,qwen3-30b,cascade,20251029-145633,2,15,269,79,0.052816901
20251029-1-java-opensources,qwen3-30b,direct,20251029-221104,1,15,269,87,0.052816901
20251029-1-java-opensources,qwen3-30b,direct,20251029-224821,2,1,283,8,0.003521127
20251031-1-javadirect3,qwen3-30b,direct,20251031-172120,3,14,270,37,0.049295775
