date,model,mode,timestamp,level,project_id,pass,total,reason
js-closesources,gemini-2.5-flash,cascade,20251030-025443,1,1,9,11,N/A
js-closesources,gemini-2.5-flash,cascade,20251030-025443,1,2,0,9,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251031\\2\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251031\\2\\start.py': [Errno 2] No such file or directory
"
js-closesources,gemini-2.5-flash,cascade,20251030-025443,1,3,0,16,"C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251031\3\services\passwordService.js:83
  if (/[!@#$%^&*()_-+=[\]{}|;:,.<>?`~]/.test(password)) score += 1; // Symbols
      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

SyntaxError: Invalid regular expression: /[!@#$%^&*()_-+=[\]{}|;:,.<>?`~]/: Range out of order in character class
    at wrapSafe (node:internal/modules/cjs/loader:1691:18)
    at Module._compile (node:internal/modules/cjs/loader:1734:20)
    at Object..js (node:internal/modules/cjs/loader:1893:10)
    at Module.load (node:internal/modules/cjs/loader:1480:32)
    at Module._load (node:internal/modules/cjs/loader:1299:12)
    at TracingChannel.traceSync (node:diagnostics_channel:328:14)
    at wrapModuleLoad (node:internal/modules/cjs/loader:244:24)
    at Module.require (node:internal/modules/cjs/loader:1503:12)
    at require (node:internal/modules/helpers:152:16)
    at Object.<anonymous> (C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251031\3\controllers\passwordController.js:1:25)

Node.js v24.11.0
"
js-closesources,gemini-2.5-flash,cascade,20251030-025443,1,4,0,17,N/A
js-closesources,gemini-2.5-flash,cascade,20251030-025443,1,5,0,13,"npm warn deprecated multer@1.4.5-lts.2: Multer 1.x is impacted by a number of vulnerabilities, which have been patched in 2.x. You should upgrade to the latest 2.x version.
C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Scripts\python.exe: No module named npm.__main__; 'npm' is a package and cannot be directly executed
"
js-closesources,gemini-2.5-flash,cascade,20251030-025443,1,6,0,20,"
added 101 packages, and audited 102 packages in 6s

18 packages are looking for funding
  run `npm fund` for details

found 0 vulnerabilities
Installing NodeJS dependencies...

up to date, audited 102 packages in 3s

18 packages are looking for funding
  run `npm fund` for details

found 0 vulnerabilities
NodeJS dependencies installed successfully.
Starting NodeJS server...

> todo-analytics-app@1.0.0 start
> node server.js

Server running on port 5000
"
js-closesources,gemini-2.5-flash,cascade,20251030-025443,1,7,0,24,"npm error code ETARGET
npm error notarget No matching version found for json2csv@^6.1.3.
npm error notarget In most cases you or one of your dependencies are requesting
npm error notarget a package version that doesn't exist.
npm error A complete log of this run can be found in: C:\Users\13468\AppData\Local\npm-cache\_logs\2025-10-31T09_18_27_483Z-debug-0.log
Error executing command: npm install
Stdout: 
Stderr: npm error code ETARGET
npm error notarget No matching version found for json2csv@^6.1.3.
npm error notarget In most cases you or one of your dependencies are requesting
npm error notarget a package version that doesn't exist.
npm error A complete log of this run can be found in: C:\Users\13468\AppData\Local\npm-cache\_logs\2025-10-31T09_18_46_292Z-debug-0.log

"
js-closesources,gemini-2.5-flash,cascade,20251030-025443,1,8,0,18,"MongooseServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017, connect ECONNREFUSED ::1:27017
    at _handleConnectionErrors (C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251031\8\node_modules\mongoose\lib\connection.js:1169:11)
    at NativeConnection.openUri (C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251031\8\node_modules\mongoose\lib\connection.js:1100:11)
    at runNextTicks (node:internal/process/task_queues:65:5)
    at listOnTimeout (node:internal/timers:569:9)
    at process.processTimers (node:internal/timers:543:7) {
  errorLabelSet: Set(0) {},
  reason: TopologyDescription {
    type: 'Unknown',
    servers: Map(1) { 'localhost:27017' => [ServerDescription] },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: null,
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  },
  code: undefined,
  cause: TopologyDescription {
    type: 'Unknown',
    servers: Map(1) { 'localhost:27017' => [ServerDescription] },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: null,
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  }
}
"
js-closesources,gemini-2.5-flash,cascade,20251030-025443,1,9,6,13,N/A
js-closesources,gemini-2.5-flash,cascade,20251030-025443,1,10,0,21,"(node:28060) [MONGODB DRIVER] Warning: useNewUrlParser is a deprecated option: useNewUrlParser has no effect since Node.js Driver version 4.0.0 and will be removed in the next major version
(Use `node --trace-warnings ...` to show where the warning was created)
(node:28060) [MONGODB DRIVER] Warning: useUnifiedTopology is a deprecated option: useUnifiedTopology has no effect since Node.js Driver version 4.0.0 and will be removed in the next major version
MongoDB connection error: MongooseServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017, connect ECONNREFUSED ::1:27017
    at _handleConnectionErrors (C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251031\10\node_modules\mongoose\lib\connection.js:1169:11)
    at NativeConnection.openUri (C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251031\10\node_modules\mongoose\lib\connection.js:1100:11)
    at runNextTicks (node:internal/process/task_queues:65:5)
    at listOnTimeout (node:internal/timers:569:9)
    at process.processTimers (node:internal/timers:543:7) {
  errorLabelSet: Set(0) {},
  reason: TopologyDescription {
    type: 'Unknown',
    servers: Map(1) { 'localhost:27017' => [ServerDescription] },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: null,
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  },
  code: undefined,
  cause: TopologyDescription {
    type: 'Unknown',
    servers: Map(1) { 'localhost:27017' => [ServerDescription] },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: null,
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  }
}
"
