date,model,mode,timestamp,level,passed,failed,executed,score
js-closesources,gpt-3.5-turbo,cascade,20251029-103141,1,7,277,37,0.02464788732394366
js-closesources,gpt-3.5-turbo,cascade,20251029-103801,2,7,277,37,0.02464788732394366
js-closesources,gpt-3.5-turbo,direct,20251029-104251,1,6,278,23,0.02112676056338028
js-closesources,gpt-3.5-turbo,direct,20251029-104710,2,7,277,37,0.02464788732394366
js-closesources,gpt-3.5-turbo,direct,20251029-105119,3,11,273,69,0.03873239436619718
js-closesources,gpt-5,cascade,20251029-060314,1,46,238,199,0.1619718309859155
js-closesources,gpt-5,cascade,20251029-111936,2,109,175,240,0.38380281690140844
js-closesources,gpt-5,direct,20251029-142441,1,68,216,247,0.23943661971830985
js-closesources,gpt-5,direct,20251029-162314,2,112,172,263,0.39436619718309857
js-closesources,gpt-5,direct,20251029-181051,3,127,157,231,0.4471830985915493
