date,model,mode,timestamp,level,checklist,skeleton,code,parameter
20251028-1-jsdirect3,codellama-13b,direct,20251029-033943,3,None,None,11.06%,12.15%
20251028-1-jsdirect3,codellama-34b,direct,20251029-003016,3,None,None,6.32%,2.4899999999999998%
20251028-1-jsdirect3,deepseek-coder-33b,direct,20251029-034434,3,None,None,22.33%,8.67%
20251028-1-jsdirect3,deepseek-coder-6.7b,direct,20251029-035859,3,None,None,25.15%,1.09%
20251028-1-jsdirect3,gemma3-12b,direct,20251028-202130,3,None,None,36.41%,31.77%
20251028-1-jsdirect3,gemma3-27b,direct,20251028-204251,3,None,None,51.7%,40.72%
20251028-1-jsdirect3,gpt-oss-20b,direct,20251028-201946,3,None,None,40.849999999999994%,23.01%
20251028-1-jsdirect3,llama3.1-8b,direct,20251029-001818,3,None,None,7.7700000000000005%,0.0%
20251028-1-jsdirect3,llama3.3-70b,direct,20251028-230205,3,None,None,47.53%,43.919999999999995%
20251028-1-jsdirect3,phi4-14b,direct,20251028-212851,3,None,None,55.269999999999996%,38.58%
20251028-1-jsdirect3,qwen2.5-coder-14b,direct,20251028-224242,3,None,None,35.67%,33.239999999999995%
20251028-1-jsdirect3,qwen2.5-coder-32b,direct,20251028-215453,3,None,None,43.76%,38.440000000000005%
20251028-1-jsdirect3,qwen3-14b,direct,20251028-205505,3,None,None,28.43%,22.43%
20251028-1-jsdirect3,qwen3-30b,direct,20251028-212125,3,None,None,43.22%,22.919999999999998%
