date,model,mode,timestamp,level,project_id,pass,total,reason,score,type,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,1,0,11,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,2,0,9,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,3,0,16,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,4,0,17,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,5,0,13,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,6,0,20,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,7,0,24,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,8,0,18,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,9,0,13,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,10,0,21,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,11,0,8,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,12,0,18,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,13,0,25,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,14,0,5,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,15,0,3,N/A,0,Web,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,16,1,9,N/A,0.111111111,Console/Batch,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,17,1,6,N/A,0.166666667,Console/Batch,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,18,0,14,N/A,0,Console/Batch,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,19,1,8,N/A,0.125,Console/Batch,,,,
20251020-1,codellama-13b,direct,20251021-023829,3,20,0,26,N/A,0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,1,1,11,N/A,0.090909091,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,2,0,9,N/A,0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,3,0,16,"
added 69 packages, and audited 70 packages in 3s

14 packages are looking for funding
  run `npm fund` for details

found 0 vulnerabilities
",0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,4,0,17,"node:internal/modules/cjs/loader:1423
  throw err;
  ^

Error: Cannot find module 'express'
Require stack:
- C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\4\start.js
    at Module._resolveFilename (node:internal/modules/cjs/loader:1420:15)
    at defaultResolveImpl (node:internal/modules/cjs/loader:1058:19)
    at resolveForCJSWithHooks (node:internal/modules/cjs/loader:1063:22)
    at Module._load (node:internal/modules/cjs/loader:1226:37)
    at TracingChannel.traceSync (node:diagnostics_channel:328:14)
    at wrapModuleLoad (node:internal/modules/cjs/loader:244:24)
    at Module.require (node:internal/modules/cjs/loader:1503:12)
    at require (node:internal/modules/helpers:152:16)
    at Object.<anonymous> (C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\4\start.js:1:17)
    at Module._compile (node:internal/modules/cjs/loader:1760:14) {
  code: 'MODULE_NOT_FOUND',
  requireStack: [
    'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\4\\start.js'
  ]
}

Node.js v24.11.0
",0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,5,0,13,"
up to date, audited 1 package in 444ms

found 0 vulnerabilities
",0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,6,0,20,"
added 69 packages, and audited 70 packages in 6s

14 packages are looking for funding
  run `npm fund` for details

found 0 vulnerabilities
",0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,7,1,24,N/A,0.041666667,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,8,0,18,N/A,0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,9,0,13,N/A,0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,10,1,21,N/A,0.047619048,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,11,1,8,N/A,0.125,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,12,0,18,N/A,0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,13,0,25,N/A,0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,14,0,5,"
added 69 packages, and audited 70 packages in 3s

14 packages are looking for funding
  run `npm fund` for details

found 0 vulnerabilities
",0,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,15,2,3,N/A,0.666666667,Web,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,16,3,9,N/A,0.333333333,Console/Batch,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,17,2,6,N/A,0.333333333,Console/Batch,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,18,1,14,N/A,0.071428571,Console/Batch,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,19,1,8,N/A,0.125,Console/Batch,,,,
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,20,0,26,N/A,0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,1,1,11,N/A,0.090909091,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,2,0,9,N/A,0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,3,0,16,N/A,0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,4,0,17,N/A,0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,5,0,13,N/A,0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,6,0,20,N/A,0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,7,0,24,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\7\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,8,0,18,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\8\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,9,0,13,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\9\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,10,0,21,N/A,0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,11,0,8,N/A,0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,12,0,18,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\12\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,13,0,25,"node:internal/modules/cjs/loader:1423
  throw err;
  ^

Error: Cannot find module 'express'
Require stack:
- C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\13\index.js
    at Module._resolveFilename (node:internal/modules/cjs/loader:1420:15)
    at defaultResolveImpl (node:internal/modules/cjs/loader:1058:19)
    at resolveForCJSWithHooks (node:internal/modules/cjs/loader:1063:22)
    at Module._load (node:internal/modules/cjs/loader:1226:37)
    at TracingChannel.traceSync (node:diagnostics_channel:328:14)
    at wrapModuleLoad (node:internal/modules/cjs/loader:244:24)
    at Module.require (node:internal/modules/cjs/loader:1503:12)
    at require (node:internal/modules/helpers:152:16)
    at Object.<anonymous> (C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\13\index.js:1:17)
    at Module._compile (node:internal/modules/cjs/loader:1760:14) {
  code: 'MODULE_NOT_FOUND',
  requireStack: [
    'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\13\\index.js'
  ]
}

Node.js v24.11.0
",0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,14,0,5,N/A,0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,15,0,3,N/A,0,Web,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,16,0,9,N/A,0,Console/Batch,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,17,0,6,N/A,0,Console/Batch,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,18,1,14,N/A,0.071428571,Console/Batch,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,19,0,8,N/A,0,Console/Batch,,,,
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,20,0,26,N/A,0,Web,,,,
20251020-1,gemma3-12b,cascade,20251020-214045,1,1,1,11,N/A,0.090909091,Web,,,,
20251020-1,gemma3-12b,cascade,20251020-214045,1,2,0,9,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\2\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\2\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
