date,model,mode,timestamp,level,passed,failed,executed,score
20251020-1,codellama-13b,direct,20251021-023829,3,3,281,23,0.01056338028169014
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,13,271,104,0.045774647887323945
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,2,282,25,0.007042253521126761
20251020-1,gemma3-12b,cascade,20251020-214045,1,10,274,53,0.035211267605633804
20251020-1,gemma3-12b,cascade,20251020-222603,2,3,281,20,0.01056338028169014
20251020-1,gemma3-12b,direct,20251021-170829,1,17,267,51,0.05985915492957746
20251020-1,gemma3-12b,direct,20251021-171901,2,0,284,0,0
20251020-1,gemma3-12b,direct,20251021-172956,3,5,279,37,0.017605633802816902
20251020-1,gemma3-27b,cascade,20251020-234444,1,20,264,85,0.07042253521126761
20251020-1,gemma3-27b,cascade,20251021-020650,2,10,274,62,0.035211267605633804
20251020-1,gemma3-27b,direct,20251021-175635,1,14,270,97,0.04929577464788732
20251020-1,gemma3-27b,direct,20251021-190720,2,7,277,40,0.02464788732394366
20251020-1,gemma3-27b,direct,20251021-200238,3,5,279,23,0.017605633802816902
20251020-1,gpt-oss-20b,cascade,20251020-165124,1,16,268,80,0.056338028169014086
20251020-1,gpt-oss-20b,cascade,20251020-174636,2,21,263,111,0.07394366197183098
20251020-1,gpt-oss-20b,direct,20251021-152301,1,31,253,119,0.10915492957746478
20251020-1,gpt-oss-20b,direct,20251021-154018,2,27,257,102,0.09507042253521127
20251020-1,gpt-oss-20b,direct,20251021-161357,3,12,272,72,0.04225352112676056
20251020-1,llama3.1-8b,cascade,20251020-202744,1,1,283,9,0.0035211267605633804
20251020-1,llama3.1-8b,cascade,20251020-210501,2,6,278,23,0.02112676056338028
20251020-1,llama3.1-8b,direct,20251021-015727,1,0,284,0,0
20251020-1,llama3.1-8b,direct,20251021-020411,2,4,280,37,0.014084507042253521
20251020-1,llama3.1-8b,direct,20251021-022110,3,3,281,23,0.01056338028169014
20251020-1,llama3.3-70b,cascade,20251020-165147,1,32,252,210,0.11267605633802817
20251020-1,llama3.3-70b,cascade,20251020-181934,2,33,251,220,0.11619718309859155
20251020-1,llama3.3-70b,direct,20251020-221221,1,38,246,210,0.13380281690140844
20251020-1,llama3.3-70b,direct,20251020-230128,2,57,227,121,0.2007042253521127
20251020-1,llama3.3-70b,direct,20251021-002457,3,63,221,246,0.22183098591549297
20251020-1,phi4-14b,cascade,20251021-131225,1,15,269,102,0.0528169014084507
20251020-1,phi4-14b,cascade,20251021-142018,2,23,261,143,0.08098591549295775
20251020-1,phi4-14b,direct,20251021-234154,1,28,256,211,0.09859154929577464
20251020-1,phi4-14b,direct,20251021-235733,2,40,244,187,0.14084507042253522
20251020-1,phi4-14b,direct,20251022-001414,3,12,272,86,0.04225352112676056
20251020-1,qwen2.5-coder-14b,direct,20251022-005824,3,32,252,254,0.11267605633802817
20251020-1,qwen2.5-coder-32b,direct,20251022-003048,3,42,242,181,0.14788732394366197
20251020-1,qwen3-14b,cascade,20251021-042928,1,15,269,113,0.0528169014084507
20251020-1,qwen3-14b,cascade,20251021-070105,2,11,273,125,0.03873239436619718
20251020-1,qwen3-14b,direct,20251021-210247,1,9,275,109,0.03169014084507042
20251020-1,qwen3-14b,direct,20251021-211834,2,2,282,15,0.007042253521126761
20251020-1,qwen3-14b,direct,20251021-213643,3,2,282,17,0.007042253521126761
20251020-1,qwen3-30b,cascade,20251021-093719,1,14,270,136,0.04929577464788732
20251020-1,qwen3-30b,cascade,20251021-110129,2,20,264,87,0.07042253521126761
20251020-1,qwen3-30b,direct,20251021-215732,1,8,276,71,0.028169014084507043
20251020-1,qwen3-30b,direct,20251021-222933,2,17,267,59,0.05985915492957746
20251020-1,qwen3-30b,direct,20251021-230302,3,13,271,133,0.045774647887323945
