date,model,mode,timestamp,level,project_id,pass,total,reason
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,1,0,11,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\1\\somepath\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\1\\somepath\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\1\\somepath\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,2,0,9,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\2\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\2\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\2\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,3,0,16,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\3\\project_name\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\3\\project_name\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\3\\project_name\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,4,0,17,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\4\\project_name\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\4\\project_name\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\4\\project_name\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,5,0,13,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\5\\project_name\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\5\\project_name\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\5\\project_name\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,6,0,20,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\6\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\6\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\6\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,7,0,24,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\7\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\7\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\7\\projectname\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,8,0,18,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\8\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\8\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\8\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,9,0,13,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\9\\project_name\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\9\\project_name\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\9\\project_name\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,10,0,21,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\10\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\10\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\10\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,11,0,8,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\11\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\11\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\11\\projectname\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,12,0,18,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\12\\somepath\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\12\\somepath\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\12\\somepath\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,13,0,25,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\13\\somepath\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\13\\somepath\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\13\\somepath\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,14,0,5,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\14\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\14\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\14\\projectname\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,15,0,3,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\15\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\15\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\15\\projectname\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,16,3,9,N/A
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,17,2,6,N/A
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,18,1,14,N/A
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,19,1,8,N/A
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,20,0,26,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\20\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\20\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\20\\projectname\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185942,2,1,0,11,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\1\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\1\\projectname\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\1\\projectname\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185942,2,2,0,9,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\2\\currency_converter\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\2\\currency_converter\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\2\\currency_converter\\manage.py': [Errno 2] No such file or directory
"
pyclosesources,gpt-3.5-turbo,cascade,20251029-185942,2,3,0,16,"C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\3\\project_name\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\3\\project_name\\manage.py': [Errno 2] No such file or directory
C:\Users\Ryan\AppData\Local\Programs\Python\Python312\python.exe: can't open file 'D:\\Multiagent Research\\ProjectEvalPlus\\test\\20251031\\3\\project_name\\manage.py': [Errno 2] No such file or directory
"
