date,model,mode,timestamp,level,passed,failed,executed,score
pyclosesources,gpt-3.5-turbo,cascade,20251029-185302,1,7,277,37,0.02464788732394366
pyclosesources,gpt-3.5-turbo,cascade,20251029-185942,2,7,277,37,0.02464788732394366
pyclosesources,gpt-3.5-turbo,direct,20251029-190602,1,7,277,37,0.02464788732394366
pyclosesources,gpt-3.5-turbo,direct,20251029-191051,2,7,277,37,0.02464788732394366
pyclosesources,gpt-3.5-turbo,direct,20251029-191658,3,17,267,135,0.05985915492957746
pyclosesources,gpt-5,cascade,20251030-040002,1,46,238,150,0.1619718309859155
pyclosesources,gpt-5,cascade,20251030-081054,2,117,167,233,0.4119718309859155
pyclosesources,gpt-5,direct,20251030-112043,1,77,207,249,0.2711267605633803
pyclosesources,gpt-5,direct,20251030-143432,2,96,188,250,0.3380281690140845
pyclosesources,gpt-5,direct,20251030-165652,3,99,185,188,0.3485915492957746
pyclosesources,gpt-5,direct,20251030-183910,3,123,161,266,0.43309859154929575
