date,model,mode,timestamp,level,checklist,skeleton,code,parameter
20251024-1-python,codellama-13b,direct,20251027-124148,3,None,None,2.78%,3.92%
20251024-1-python,codellama-34b,direct,20251027-120902,3,None,None,2.59%,0.0%
20251024-1-python,deepseek-coder-33b,direct,20251027-125123,3,None,None,27.1%,4.36%
20251024-1-python,deepseek-coder-6.7b,direct,20251027-131027,3,None,None,13.81%,0.38999999999999996%
20251024-1-python,gemma3-12b,cascade,20251024-131206,1,61.86000000000001%,18.58%,20.86%,32.62%
20251024-1-python,gemma3-12b,cascade,20251024-152512,2,None,19.02%,11.790000000000001%,19.06%
20251024-1-python,gemma3-12b,direct,20251025-035647,1,None,None,14.680000000000001%,16.74%
20251024-1-python,gemma3-12b,direct,20251026-000440,2,None,None,20.87%,42.21%
20251024-1-python,gemma3-12b,direct,20251026-124526,3,None,None,36.059999999999995%,33.93%
20251024-1-python,gemma3-27b,cascade,20251024-164054,1,58.96%,19.05%,14.499999999999998%,14.879999999999999%
20251024-1-python,gemma3-27b,cascade,20251024-191431,2,None,19.43%,16.37%,24.21%
20251024-1-python,gemma3-27b,direct,20251026-153202,1,None,None,31.6%,42.57%
20251024-1-python,gemma3-27b,direct,20251026-160357,2,None,None,33.98%,43.99%
20251024-1-python,gemma3-27b,direct,20251026-163553,3,None,None,47.47%,48.11%
20251024-1-python,gpt-oss-20b,cascade,20251027-144655,1,53.269999999999996%,13.25%,23.48%,23.04%
20251024-1-python,gpt-oss-20b,cascade,20251027-231354,2,None,12.67%,30.669999999999998%,29.37%
20251024-1-python,gpt-oss-20b,direct,20251028-103017,1,None,None,25.380000000000003%,30.55%
20251024-1-python,gpt-oss-20b,direct,20251028-111620,2,None,None,30.620000000000005%,37.230000000000004%
20251024-1-python,gpt-oss-20b,direct,20251028-115311,3,None,None,47.38%,38.080000000000005%
20251024-1-python,llama3.1-8b,cascade,20251025-021937,1,6.65%,3.65%,5.2299999999999995%,4.83%
20251024-1-python,llama3.1-8b,cascade,20251025-023857,2,None,4.88%,7.22%,7.37%
20251024-1-python,llama3.1-8b,direct,20251027-115021,1,None,None,1.97%,0.0%
20251024-1-python,llama3.1-8b,direct,20251027-115407,2,None,None,2.11%,7.22%
20251024-1-python,llama3.1-8b,direct,20251027-115903,3,None,None,6.03%,0.0%
20251024-1-python,llama3.3-70b,cascade,20251024-221451,1,49.559999999999995%,16.48%,22.28%,34.81%
20251024-1-python,llama3.3-70b,cascade,20251024-234322,2,None,17.52%,27.67%,42.05%
20251024-1-python,llama3.3-70b,direct,20251026-185922,1,None,None,34.32%,50.99%
20251024-1-python,llama3.3-70b,direct,20251026-201451,2,None,None,29.28%,46.08%
20251024-1-python,llama3.3-70b,direct,20251027-023405,3,None,None,36.83%,40.1%
20251024-1-python,phi4-14b,cascade,20251024-203820,1,57.82000000000001%,0.0%,0.0%,0.0%
20251024-1-python,phi4-14b,cascade,20251024-205026,2,None,2.91%,2.81%,7.1%
20251024-1-python,phi4-14b,direct,20251026-171609,1,None,None,39.34%,43.34%
20251024-1-python,phi4-14b,direct,20251026-173028,2,None,None,36.19%,45.64%
20251024-1-python,phi4-14b,direct,20251026-174741,3,None,None,51.080000000000005%,46.93%
20251024-1-python,qwen2.5-coder-14b,direct,20251026-184354,3,None,None,2.1%,3.7600000000000002%
20251024-1-python,qwen2.5-coder-32b,direct,20251026-180746,3,None,None,42.059999999999995%,30.59%
20251024-1-python,qwen3-14b,cascade,20251028-033643,1,38.66%,10.39%,17.89%,16.54%
20251024-1-python,qwen3-14b,cascade,20251028-043312,2,None,17.04%,20.1%,28.189999999999998%
20251024-1-python,qwen3-14b,direct,20251028-151558,1,None,None,19.71%,26.02%
20251024-1-python,qwen3-14b,direct,20251028-153838,2,None,None,26.19%,39.379999999999995%
20251024-1-python,qwen3-14b,direct,20251028-160505,3,None,None,45.410000000000004%,37.28%
20251024-1-python,qwen3-30b,cascade,20251028-054300,1,37.79%,14.940000000000001%,17.630000000000003%,13.15%
20251024-1-python,qwen3-30b,cascade,20251028-062711,2,None,16.520000000000003%,27.1%,18.6%
20251024-1-python,qwen3-30b,direct,20251028-163205,1,None,None,19.71%,16.53%
20251024-1-python,qwen3-30b,direct,20251028-172008,2,None,None,18.27%,15.45%
20251024-1-python,qwen3-30b,direct,20251028-181114,3,None,None,51.85999999999999%,26.5%
