date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,1,0,11,The process was never started.
date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,1,0,11,"  File ""D:\Multiagent Research\ProjectEvalPlus\test\20251024\1\start.py"", line 1
    import subprocess\nimport sys\n\n\ndef main():\n    try:\n        subprocess.run(""mvn spring-boot:run"", shell=True, check=True)\n    except subprocess.CalledProcessError as e:\n        sys.exit(e.returncode)\n\n\nif __name__ == ""__main__"":\n    main()
                      ^
SyntaxError: unexpected character after line continuation character
  File ""D:\Multiagent Research\ProjectEvalPlus\test\20251024\1\start.py"", line 1
    import subprocess\nimport sys\n\n\ndef main():\n    try:\n        subprocess.run(""mvn spring-boot:run"", shell=True, check=True)\n    except subprocess.CalledProcessError as e:\n        sys.exit(e.returncode)\n\n\nif __name__ == ""__main__"":\n    main()
                      ^
SyntaxError: unexpected character after line continuation character
"
date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,1,0,11,"  File ""D:\Multiagent Research\ProjectEvalPlus\test\20251024\1\start.py"", line 1
    import subprocess\nimport sys\n\n\ndef main():\n    try:\n        subprocess.run(""mvn spring-boot:run"", shell=True, check=True)\n    except subprocess.CalledProcessError as e:\n        sys.exit(e.returncode)\n\n\nif __name__ == ""__main__"":\n    main()
                      ^
SyntaxError: unexpected character after line continuation character
  File ""D:\Multiagent Research\ProjectEvalPlus\test\20251024\1\start.py"", line 1
    import subprocess\nimport sys\n\n\ndef main():\n    try:\n        subprocess.run(""mvn spring-boot:run"", shell=True, check=True)\n    except subprocess.CalledProcessError as e:\n        sys.exit(e.returncode)\n\n\nif __name__ == ""__main__"":\n    main()
                      ^
SyntaxError: unexpected character after line continuation character
"
date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,1,0,11,"  File ""D:\Multiagent Research\ProjectEvalPlus\test\20251024\1\start.py"", line 1
    import subprocess\nimport sys\n\n\ndef main():\n    try:\n        subprocess.run(""mvn spring-boot:run"", shell=True, check=True)\n    except subprocess.CalledProcessError as e:\n        sys.exit(e.returncode)\n\n\nif __name__ == ""__main__"":\n    main()
                      ^
SyntaxError: unexpected character after line continuation character
  File ""D:\Multiagent Research\ProjectEvalPlus\test\20251024\1\start.py"", line 1
    import subprocess\nimport sys\n\n\ndef main():\n    try:\n        subprocess.run(""mvn spring-boot:run"", shell=True, check=True)\n    except subprocess.CalledProcessError as e:\n        sys.exit(e.returncode)\n\n\nif __name__ == ""__main__"":\n    main()
                      ^
SyntaxError: unexpected character after line continuation character
"
date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,1,0,11,"  File ""D:\Multiagent Research\ProjectEvalPlus\test\20251024\1\start.py"", line 1
    import subprocess\nimport sys\n\n\ndef main():\n    try:\n        subprocess.run(""mvn spring-boot:run"", shell=True, check=True)\n    except subprocess.CalledProcessError as e:\n        sys.exit(e.returncode)\n\n\nif __name__ == ""__main__"":\n    main()
                      ^
SyntaxError: unexpected character after line continuation character
  File ""D:\Multiagent Research\ProjectEvalPlus\test\20251024\1\start.py"", line 1
    import subprocess\nimport sys\n\n\ndef main():\n    try:\n        subprocess.run(""mvn spring-boot:run"", shell=True, check=True)\n    except subprocess.CalledProcessError as e:\n        sys.exit(e.returncode)\n\n\nif __name__ == ""__main__"":\n    main()
                      ^
SyntaxError: unexpected character after line continuation character
"
date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,2,0,9,The process was never started.
date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,2,0,9,The process was never started.
date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,2,0,9,The process was never started.
date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,2,0,9,The process was never started.
date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,2,0,9,The process was never started.
date,model,mode,timestamp,level,project_id,pass,total,reason
renew_java,gpt-oss-20b,direct,20251018-123000,3,3,3,16,N/A
date,model,mode,timestamp,level,project_id,pass,total,reason
