project_id,iteration,score
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
3,1,0.1875
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
4,1,0.11764705882352941
4,2,0.11764705882352941
4,3,0.11764705882352941
4,4,0.5882352941176471
4,5,0.8235294117647058
5,1,0.0
5,2,0.38461538461538464
5,3,0.0
5,4,0.38461538461538464
5,5,1.0
6,1,0.0
6,2,0.25
6,3,0.25
6,4,0.25
6,5,0.25
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.4444444444444444
8,5,0.4444444444444444
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
10,1,0.3333333333333333
10,2,0.42857142857142855
10,3,0.5714285714285714
10,4,0.0
10,5,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
13,1,0.04
13,2,0.04
13,3,0.04
13,4,0.0
13,5,0.0
14,1,1.0
15,1,1.0
16,1,0.3333333333333333
16,2,0.1111111111111111
16,3,0.3333333333333333
16,4,0.3333333333333333
16,5,0.4444444444444444
17,1,0.3333333333333333
17,2,0.5
17,3,0.3333333333333333
17,4,0.3333333333333333
17,5,0.3333333333333333
18,1,0.07142857142857142
18,2,0.7142857142857143
18,3,0.8571428571428571
18,4,1.0
19,1,0.0
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
